,menu
0,Momoupaa
1,Old Monk 22oz
2,Shai Paneer
3,Mix Grill
4,Plain Paratha Small
5,Fish Tikka Kabab
6,Mozzarella Naan
7,Duck Masala
8,Paradise Special Chicken Biryani
9,Diet Mountain Dew (Bottle)
10,Sweet Corn Chicken Soup
11,Lamb Tikka Masala Catering
12,Butter Ck
13,Vegetable Samosa Chat
14,Tofu Tikka Saag
15,Shan-A-Punjab Goat (Bone In)
16,Fish Manchuria
17,Vada
18,Kadal
19,Chicken Hariwali Momo Masala
20,Lamb Biryani Small
21,Lunch Aloo Palak
22,Paneer Coconut Korma
23,Fried Egg Hakka Noodles
24,Onion Paratha (Vegan)
25,P.V. Curry
26,Pista Kulfi
27,MInt Chutney (8 Oz)
28,Chicken Basil Kebob
29,Gulab Jamun (4pcs)
30,Diet Pepsi (Can)
31,Sze Chic Noodles
32,Ras Malai (2 Pcs)
33,Bread Pakoda Mix
34,Grand India Special Chili Chaat
35,Chicken Tikka Masala (Lunch)
36,Combo Thalli - Vegg
37,Navaratan Kurma
38,Spaghetti Tomato Cheese
39,Achari Goat
40,Chicken Basil Kebab
41,Goat Biryani Large
42,Naan Bread
43,Chili Paneer
44,Kheer ( Large Tray )
45,Rasmalai
46,BEET SALAD LARGE
47,Beef DoPiaza
48,Shrimp Maharaja
49,Papadom
50,Kothey MO:MO
51,Paneer Veg Biryani
52,Lamb Mushroom Do-Piaza
53,Bhindi Aloo
54,Shrimp Malai
55,Chennai Kathirikai Curry
56,Curry Shrimp Roti Wrap
57,32 Oz. Fish Family Dish
58,Rasam Mini Idli
59,Papadum ( 100 pc )
60,Aloo Tikki (50 Pieces)
61,Cheese Sev Puri
62,Veg Kheema Pulav
63,Dosa Plain
64,MEAT SAMOSA SMALL
65,Lamb Shek Kabab ( Large Tray )
66,Shrimp Chettinad
67,PANEER BIRYANI LUNCH
68,Schezwan Paneer Veg Fried Rice
69,Rice Pudding Kheer
70,Fish Fry (6 Pieces)
71,Matter Paneer
72,Lamb Boti Kabob
73,Keema Mutter
74,14.Tandoori Wing Platter
75,Piña Colada Smoothie
76,Chicken Tikka Sauce 8 Oz
77,2 Vegetable Samosa
78,TIRAMISU
79,Lamb Malabar
80,Aloo Ko Achar
81,Dabang Dosa
82,Lahori Chicken
83,CHICKEN TIKKA MASALA
84,Makki Mushroom Curry (Vegan)
85,Channa Masala (Lunch)
86,Veg. Pakora
87,Dum Ki Veg Biryani
88,Kulfi Badam Pista Ice Cream
89,Catering Blueberry Naan
90,Fish Tikka Kabob
91,Chilly Shrimp
92,Chicken Do-Piazza
93,Lassi With Ice Cream
94,Sheermal
95,Catering Chicken Kadai (Party)
96,Chicken Vindloo
97,Lamb Madras (Lunch)
98,Catering Rogan Josh
99,Aloo Cheese Puff
100,Mysore Dosa
101,Paneer Pulav
102,Pottalam Pulav-Chicken
103,Raita ( 16 oz )
104,Chicken Samosas
105,Chicken Channa Masala (Lunch)
106,Bombay Veg-Cheese Sandwich
107,Catering Tikka Chicken Masala (Party)
108,Non-Veggie Singh's Platter
109,Goat Saag (With Bone) (Lunch)
110,Sze Mixed Fried Rice
111,Ginger-Mint Naan
112,2 Papad
113,Lamb Shanks
114,Lunch Paneer Curry
115,Chicken Makhni
116,Tandoori Garlic Naan
117,Bhuna Lamb Medium
118,Lunch Bhindi Masala
119,Paneer Pakoda for 25 PCS
120,Aloo Naan
121,Fish Pakora
122,Mango Lassi Mediuml Gallon
123,Chilly Naan
124,Pesawary Naan (10 pc )
125,Masala Thums Up
126,Rasmalai (4pc)
127,Indian Pickles
128,K Mirch
129,Badami Kheer
130,Karachi Gosht
131,Shahi Bhindi Bhuna
132,Egg Paratha (2pcs)
133,Ginger Ale
134,Gift Card 100
135,Keema Paratha (W/Raita)
136,BAIGAN BHARTHA BRUNCH
137,Catering Palak Paneer (Party)
138,Papadum (Lunch)
139,Vegetable Noodles
140,Vegetable Pakora (Lunch)
141,Chicken Methi Small
142,Meeta paan
143,Sprite (Party)
144,Vegetable Pakoras (7)
145,MASALADAR BHINDI
146,Catering Chicken Tikka Masala
147,Fish Or Shrimp Jalfrezi
148,Baby Corn 65
149,Mac & Cheese Bites
150,Butter Chicken( MT)
151,Onion Pratha
152,Kofta Masala
153,Pepperoni Pizza
154,Veg Uthappam
155,Everest Style Crispy Pork
156,"""Avakaya"" Mutton"
157,Aloo Chili
158,Double Ka Meetha
159,LIMCA
160,Lunch Chicken Saag
161,GUEST SIZE - (5)
162,Watermelon Diaq
163,Chicken Finger W/Fries
164,Baby Arugula Caesar Salad
165,Nizami Murg Methi
166,Irish Coffee
167,Aloo Ka Mixed Achaar
168,Vegetable Korma Meal
