,recipieID,restaurant_name,restaurant_id
0,280,Punjab Palace,1
1,287,Punjab Palace,1
2,451,Punjab Palace,1
3,347,Punjab Palace,1
4,185,Punjab Palace,1
5,203,Punjab Palace,1
6,394,Punjab Palace,1
7,661,Punjab Palace,1
8,29,Punjab Palace,1
9,556,Punjab Palace,1
10,633,Punjab Palace,1
11,335,Punjab Palace,1
12,649,Punjab Palace,1
13,439,Punjab Palace,1
14,636,Punjab Palace,1
15,632,Punjab Palace,1
16,632,Punjab Palace,1
17,277,Punjab Palace,1
18,517,Punjab Palace,1
19,92,Punjab Palace,1
20,190,Punjab Palace,1
21,420,Punjab Palace,1
22,500,Punjab Palace,1
23,321,Punjab Palace,1
24,366,Punjab Palace,1
25,423,Punjab Palace,1
26,483,Punjab Palace,1
27,24,Punjab Palace,1
28,153,Punjab Palace,1
29,130,Punjab Palace,1
30,239,Punjab Palace,1
31,358,Punjab Palace,1
32,611,Punjab Palace,1
33,398,Punjab Palace,1
34,314,Punjab Palace,1
35,645,Punjab Palace,1
36,339,Punjab Palace,1
37,287,Punjab Palace,1
38,232,Punjab Palace,1
39,245,Punjab Palace,1
40,174,Punjab Palace,1
41,92,Punjab Palace,1
42,174,Punjab Palace,1
43,174,Punjab Palace,1
44,91,Punjab Palace,1
45,124,Punjab Palace,1
46,481,Punjab Palace,1
47,488,Punjab Palace,1
48,416,Punjab Palace,1
49,593,Punjab Palace,1
50,99,Punjab Palace,1
51,368,Punjab Palace,1
52,132,Punjab Palace,1
53,416,Punjab Palace,1
54,338,Punjab Palace,1
55,339,Punjab Palace,1
56,578,Punjab Palace,1
57,181,Punjab Palace,1
58,620,Punjab Palace,1
59,635,Punjab Palace,1
60,309,Punjab Palace,1
61,620,Punjab Palace,1
62,171,Punjab Palace,1
63,528,Punjab Palace,1
64,425,Punjab Palace,1
65,526,Punjab Palace,1
66,79,Punjab Palace,1
67,526,Punjab Palace,1
68,347,Punjab Palace,1
69,211,Punjab Palace,1
70,29,Punjab Palace,1
71,171,Punjab Palace,1
72,309,Punjab Palace,1
73,93,Punjab Palace,1
74,258,Punjab Palace,1
75,29,Punjab Palace,1
76,485,Punjab Palace,1
77,319,Punjab Palace,1
78,369,Punjab Palace,1
79,640,Punjab Palace,1
80,1,Punjab Palace,1
81,181,Punjab Palace,1
82,524,Punjab Palace,1
83,245,Punjab Palace,1
84,358,Punjab Palace,1
85,655,Punjab Palace,1
86,124,Punjab Palace,1
87,479,Punjab Palace,1
88,419,Punjab Palace,1
89,319,Punjab Palace,1
90,483,Punjab Palace,1
91,181,Punjab Palace,1
92,443,Punjab Palace,1
93,415,Punjab Palace,1
94,181,Punjab Palace,1
95,626,Punjab Palace,1
96,407,Punjab Palace,1
97,416,Punjab Palace,1
98,193,Punjab Palace,1
99,312,Punjab Palace,1
100,258,Punjab Palace,1
101,571,Punjab Palace,1
102,489,Punjab Palace,1
103,657,Punjab Palace,1
104,362,Punjab Palace,1
105,571,Punjab Palace,1
106,94,Punjab Palace,1
107,40,Punjab Palace,1
108,624,Punjab Palace,1
109,130,Punjab Palace,1
110,169,Punjab Palace,1
